🕘️更新时间,#genre#
2025-06-24 19:46:00,http://117.13.121.247:4022/rtp/225.1.1.120:5002

🌊ZSQ频道,#genre#
CCTV1,http://117.13.121.247:4022/rtp/225.1.1.120:5002
CCTV1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV1,http://220.169.100.41:10087/udp/239.76.251.87:9000
CCTV1,http://220.169.100.41:10087/udp/239.76.246.151:1234
CCTV1,http://111.162.206.7:8686/rtp/225.1.1.120:5002
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8
CCTV1,http://ygbh.site/php/bfgd.php?id=201
CCTV1,http://ygbh.site/php/bfgd.php?id=488
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.27:1025
CCTV1,http://ygbh.site/php/bfgd.php?id=484
CCTV1,http://114.241.214.222:4022/rtp/239.3.1.129:8008
CCTV1,http://ygbh.site/php/bfgd.php?id=489
CCTV1,http://templaralone.asuscomm.com:35455/mgtv/608807420.m3u8
CCTV1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.42:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.180:1025
CCTV5,http://124.162.19.248:4022/udp/225.0.4.143:7980
CCTV5,http://117.13.121.247:4022/rtp/225.1.1.160:5002
CCTV5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV5,http://111.72.202.250:7088/udp/239.252.219.236:5140
CCTV5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://web9916.w.computerqwq.cf/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://220.169.100.41:10087/udp/239.76.254.214:9000
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV5,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV5,http://ygbh.site/php/bfgd.php?id=064
CCTV5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV5,http://114.241.214.222:4022/rtp/239.3.1.173:8001
CCTV5,http://templaralone.asuscomm.com:35455/mgtv/641886683.m3u8
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.121:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.118:1025
CCTV5+,http://124.162.19.248:4022/udp/225.0.4.73:7980
CCTV5+,http://117.13.121.247:4022/rtp/225.1.1.121:5002
CCTV5+,http://220.169.100.41:10087/udp/239.76.251.88:9000
CCTV5+,http://117.8.143.150:8834/rtp/225.1.1.121:5002
CCTV5+,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8
